dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
pen-based,FCM_Suppressed_0.75,2,4,,euclidean,0.02355808301945217,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,5,,euclidean,0.03881399999954738,0.13999275650724896,0.2066957787481805,1.8858803026470694,0.30534877260283133,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,6,,euclidean,0.021219874994130805,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,7,,euclidean,0.018107958021573722,0.1399945810454227,0.2066957787481805,1.8858636474016142,0.30535100625173806,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,8,,euclidean,0.02170087498961948,0.10257428304637632,0.20514919941775836,1.7835205285465714,0.2844718100011193,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,9,,euclidean,0.022896000009495765,0.1399945810454227,0.2066957787481805,1.8858636474016142,0.30535100625173806,,2.0,0.75
pen-based,FCM_Suppressed_0.75,2,0,,euclidean,0.09331329198903404,0.1402943749606804,0.20660480349344978,1.8857989863429558,0.30550878261225767,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,1,,euclidean,0.024205833004089072,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,2,,euclidean,0.025301999994553626,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,3,,euclidean,0.01955066600930877,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,4,,euclidean,0.024523959000362083,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,5,,euclidean,0.03483412502100691,0.1402943749606804,0.20660480349344978,1.8857989863429558,0.30550878261225767,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,6,,euclidean,0.018614458007505164,0.10208861910576005,0.2052401746724891,1.775778697413185,0.2844493287036895,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,7,,euclidean,0.0181162919907365,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,8,,euclidean,0.022173125005792826,0.1023332685033892,0.2052401746724891,1.777496018532155,0.2845607723206882,,2.5,0.75
pen-based,FCM_Suppressed_0.75,2,9,,euclidean,0.022408374992664903,0.14038834808745757,0.20660480349344978,1.88568145851585,0.3055790012178678,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,0,,euclidean,0.0992379590170458,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,1,,euclidean,0.05770937498891726,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,2,,euclidean,0.07849670900031924,0.21715743902410242,0.3008551673944687,1.5263229751631446,0.36914111216250584,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,3,,euclidean,0.08300537499599159,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,4,,euclidean,0.06644716698792763,0.19662330945710685,0.30131004366812225,1.4523058529299047,0.3782530195856836,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,5,,euclidean,0.07859200000530109,0.21715743902410242,0.3008551673944687,1.526322975163145,0.36914111216250584,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,6,,euclidean,0.06455395798548125,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,7,,euclidean,0.05874133401084691,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,8,,euclidean,0.0595641250256449,0.21723128863672014,0.3008551673944687,1.5263472069752353,0.36917863852229893,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,9,,euclidean,0.054951291996985674,0.19662330945710685,0.30131004366812225,1.4523058529299047,0.3782530195856836,,1.5,0.75
pen-based,FCM_Suppressed_0.75,3,0,,euclidean,0.02508337498875335,0.19220146533575627,0.30112809315866085,1.4663056653734479,0.37133666038201635,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,1,,euclidean,0.03683066600933671,0.2187452916665306,0.3010371179039301,1.5266110598095104,0.37000403740811694,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,2,,euclidean,0.05149504099972546,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,3,,euclidean,0.05217845900915563,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,4,,euclidean,0.03889641599380411,0.19460829424963913,0.30112809315866085,1.4570831364208299,0.3752478480541242,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,5,,euclidean,0.05396666697924957,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,6,,euclidean,0.040563082991866395,0.2187452916665306,0.3010371179039301,1.5266110598095113,0.37000403740811694,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,7,,euclidean,0.03812554199248552,0.2187452916665306,0.3010371179039301,1.5266110598095104,0.37000403740811694,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,8,,euclidean,0.06960899999830872,0.2159422868178867,0.3012190684133916,1.5232686796631094,0.3676336726254482,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,9,,euclidean,0.0350757920241449,0.19460829424963913,0.30112809315866085,1.4570831364208299,0.3752478480541242,,2.0,0.75
pen-based,FCM_Suppressed_0.75,3,0,,euclidean,0.08202758300467394,0.22250096932774888,0.3010371179039301,1.5279280132856359,0.37245462391176914,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,1,,euclidean,0.056969166995259,0.2254627481020801,0.30094614264919944,1.5299526999309065,0.3751337670937971,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,2,,euclidean,0.08022016700124368,0.22250096932774888,0.3010371179039301,1.5279280132856359,0.37245462391176914,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,3,,euclidean,0.07956524999463,0.22250096932774888,0.3010371179039301,1.5279280132856359,0.37245462391176914,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,4,,euclidean,0.04509058300754987,0.19846196373631148,0.3015829694323144,1.4460747884456027,0.3811601836322298,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,5,,euclidean,0.08131941600004211,0.22250096932774888,0.3010371179039301,1.5279280132856359,0.37245462391176914,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,6,,euclidean,0.05992966701160185,0.2254627481020801,0.30094614264919944,1.5299526999309065,0.3751337670937971,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,7,,euclidean,0.06307941602426581,0.2254627481020801,0.30094614264919944,1.5299526999309065,0.3751337670937971,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,8,,euclidean,0.08788366700173356,0.22250096932774888,0.3010371179039301,1.5279280132856359,0.37245462391176914,,2.5,0.75
pen-based,FCM_Suppressed_0.75,3,9,,euclidean,0.0371887500223238,0.19846196373631148,0.3015829694323144,1.4460747884456027,0.3811601836322298,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,0,,euclidean,0.08739804101060145,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,1,,euclidean,0.05248295800993219,0.31352424080463326,0.39055676855895194,1.4492890758137817,0.46874418173098575,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,2,,euclidean,0.04713641697890125,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,3,,euclidean,0.03328466598759405,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,4,,euclidean,0.06034683299367316,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,5,,euclidean,0.0928329590242356,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,6,,euclidean,0.06174933398142457,0.31352424080463326,0.39055676855895194,1.449289075813782,0.46874418173098575,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,7,,euclidean,0.06461083400063217,0.31352424080463326,0.39055676855895194,1.4492890758137817,0.46874418173098575,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,8,,euclidean,0.058965584001271054,0.31352424080463326,0.39055676855895194,1.4492890758137817,0.46874418173098575,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,9,,euclidean,0.06969508298789151,0.31346331998987315,0.39055676855895194,1.4492785063941143,0.4686950644377827,,1.5,0.75
pen-based,FCM_Suppressed_0.75,4,0,,euclidean,0.11783049997757189,0.31882668514201956,0.39173944687045126,1.454747089490949,0.4712541360575496,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,1,,euclidean,0.036025165987666696,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,2,,euclidean,0.031858041998930275,0.31882668514201956,0.39173944687045126,1.454747089490949,0.4712541360575496,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,3,,euclidean,0.028559708007378504,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,4,,euclidean,0.05536150000989437,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,5,,euclidean,0.11653233299148269,0.31882668514201956,0.39173944687045126,1.4547470894909493,0.4712541360575496,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,6,,euclidean,0.04414570800145157,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,7,,euclidean,0.0371909579844214,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,8,,euclidean,0.0443509170145262,0.31859537708685653,0.3915574963609898,1.4544228322107133,0.4711514472136326,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,9,,euclidean,0.052830708998953924,0.31882668514201956,0.39173944687045126,1.4547470894909493,0.4712541360575496,,2.0,0.75
pen-based,FCM_Suppressed_0.75,4,0,,euclidean,0.052542207995429635,0.3144346435679811,0.3659934497816594,1.467207568992804,0.4779505515728264,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,1,,euclidean,0.048773290996905416,0.31998068100222943,0.3915574963609898,1.4550777393481777,0.47223926819035394,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,2,,euclidean,0.04745462498976849,0.3202287520504909,0.3915574963609898,1.4556576089501685,0.47211865297885774,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,3,,euclidean,0.04407154198270291,0.31998068100222943,0.3915574963609898,1.4550777393481777,0.47223926819035394,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,4,,euclidean,0.04710870800772682,0.3201841147686428,0.39164847161572053,1.455894822352179,0.4719734675991083,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,5,,euclidean,0.05066579199046828,0.3144346435679811,0.3659934497816594,1.4672075689928041,0.4779505515728264,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,6,,euclidean,0.05715829198015854,0.31998068100222943,0.3915574963609898,1.4550777393481777,0.47223926819035394,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,7,,euclidean,0.052090790995862335,0.31998068100222943,0.3915574963609898,1.4550777393481777,0.47223926819035394,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,8,,euclidean,0.054169915994862095,0.31998068100222943,0.3915574963609898,1.4550777393481777,0.47223926819035394,,2.5,0.75
pen-based,FCM_Suppressed_0.75,4,9,,euclidean,0.06009325000923127,0.3204299936280025,0.3915574963609898,1.4560828645775044,0.4721278635393699,,2.5,0.75
pen-based,FCM_Suppressed_0.75,5,0,,euclidean,0.06006254200474359,0.36945019698477616,0.48453420669577874,1.2802753699477238,0.5276947007385184,,1.5,0.75
