dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,Agglomerative,3.0,euclidean,single,0.2273738749790936,0.2274332499946467,1.407025265037946e-07,0.1042576419213973,0.7388804214284003,0.1820560341147739,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,manhattan,single,0.2174952500208746,0.217518374993233,1.407025265037946e-07,0.1042576419213973,0.76168923751255,0.1820560341147739,,,,,,,,,,Original,,
pen-based,Agglomerative,3.0,cosine,single,0.5191033330047503,0.5191528750001453,1.407025265037946e-07,0.1042576419213973,0.7388804214284003,0.1820560341147739,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,euclidean,complete,0.9459871250146534,0.9460175419808364,0.2101432316293362,0.3260553129548763,2.0139698499021774,0.3936110603176139,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,manhattan,complete,0.9708741250215098,0.970894958009012,0.2007301296981641,0.3569868995633188,1.8411689318765196,0.4155036364011074,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,cosine,complete,1.143925832991954,1.1439844999986235,0.1660878955861308,0.2925764192139738,1.745473856057891,0.3946364045728373,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,euclidean,average,0.9847193750028964,0.9847822499868926,0.0651763682165401,0.2008733624454148,1.2475084002990848,0.2896945923583111,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,manhattan,average,0.9663219159992876,0.9663875830010512,0.0615557582566268,0.1981441048034934,1.2732056569534227,0.2868503716865616,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,cosine,average,1.13317270798143,1.133193209010642,0.0693448431927606,0.2056040756914119,1.3438874014958655,0.2901628640785736,,,,,,,,,,Original,,
pen-based,Agglomerative,4.0,euclidean,single,0.2266874170163646,0.2267065419873688,-1.4140266163760097e-06,0.104348617176128,0.7624072201385284,0.1820539485485184,,,,,,,,,,Original,,
