dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_3D,105,3,Kernel_KMeans,8,0,4390.426025293287,248.916115333006,0.0084635920733765,0.7785921952418001,0.7407610535009163,0.3289679366066591
adult,PCA_3D,105,3,Kernel_KMeans,9,0,3991.5965234290097,268.12336454199976,0.0103078086583208,0.7785921952418001,0.753095794926617,0.3289679366066591
adult,PCA_3D,105,3,Kernel_KMeans,10,0,3787.360489811848,292.07101758298813,0.0048479144416556,0.7785921952418001,0.7672143841577184,0.3130157485330456
adult,PCA_5D,105,5,Kernel_KMeans,2,0,17039.051822167137,179.71256229199935,0.1800337010446646,0.7607182343065395,1.122102221522985,0.735841311269849
adult,PCA_5D,105,5,Kernel_KMeans,3,0,13940.700467503691,259.5470849169942,0.0427969000080035,0.7607182343065395,1.3040624390229298,0.5466120991219211
adult,PCA_5D,105,5,Kernel_KMeans,4,0,12671.731603666194,239.4166661250056,0.0083098691073992,0.7607182343065395,1.4203875980574587,0.4907011766032665
adult,PCA_5D,105,5,Kernel_KMeans,5,0,11481.331707810958,266.710714832996,-0.0177237235379429,0.7607182343065395,1.3348026045052528,0.4281512400262885
adult,PCA_5D,105,5,Kernel_KMeans,6,0,10684.91637129533,280.2570218750043,-0.0300114850797692,0.7607182343065395,1.2837349490646062,0.4281512400262885
adult,PCA_5D,105,5,Kernel_KMeans,7,0,10380.0311661478,373.6511625419953,-0.0301000852919937,0.7607182343065395,1.304730824450275,0.4279152304869233
adult,PCA_5D,105,5,Kernel_KMeans,8,0,8576.18973063627,269.0695942500024,-0.0022685632892431,0.7677204045698375,1.2089731798613277,0.3427615416728459
adult,PCA_5D,105,5,Kernel_KMeans,9,0,7909.79869027536,402.4741210830107,-0.0046400625884354,0.7677204045698375,1.141088869461401,0.3270338516547947
adult,PCA_5D,105,5,Kernel_KMeans,10,0,7448.203458485701,370.7682382079947,-0.008107555712033,0.7676999303877811,1.121637664281245,0.3270548586170931
mushroom,PCA_2D,111,2,Kernel_KMeans,2,0,3228.559021728073,1.836980124935508,0.0839249615504322,0.3874938453963564,0.8297269674278067,0.4326404015009926
mushroom,PCA_2D,111,2,Kernel_KMeans,3,0,1910.7509026284736,3.0554372910410166,0.099154760090047,0.3874938453963564,0.2754885453786954,0.437715218266652
mushroom,PCA_2D,111,2,Kernel_KMeans,4,0,1311.3282958546476,5.930614291224629,0.1637014897387317,0.4852289512555391,0.6117987984414355,0.4877646533833147
mushroom,PCA_2D,111,2,Kernel_KMeans,5,0,1159.5502480440034,6.014129499904811,0.1588352207283096,0.4852289512555391,0.7257144695379028,0.4722859229893103
