dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure
pen-based,Agglomerative,5,euclidean,average,1.906244833022356,1.9062484581954777,0.1918601943856886,0.30458515283842796,1.282984546610852,0.38299696163410196
pen-based,Agglomerative,5,manhattan,average,2.039393125101924,2.0394017500802875,0.06112944970787622,0.19969068413391558,1.1526110862438164,0.28632507699727316
pen-based,Agglomerative,5,euclidean,single,0.3840533751063049,0.38405570783652365,-2.9361283711561825e-06,0.1044395924308588,0.7593239995872711,0.18205186264679096
pen-based,Agglomerative,5,manhattan,single,0.328705667052418,0.32870829198509455,-1.409150770729942e-05,0.10534934497816593,0.9200177220962903,0.18203098516074642
pen-based,Agglomerative,6,euclidean,complete,2.7093211668543518,2.7094580410048366,0.2881187858099288,0.39874454148471616,1.5963361634023585,0.45144233000567
pen-based,Agglomerative,6,manhattan,complete,1.7403826671652496,1.7403858329635113,0.3373742323139541,0.4595160116448326,1.8662196510412228,0.49923942982037084
pen-based,Agglomerative,6,euclidean,average,2.065934707876295,2.065937666920945,0.20893812249691374,0.36153566229985445,1.2077436665360632,0.4485538086248987
pen-based,Agglomerative,6,manhattan,average,1.7559154580812901,1.7559180830139667,0.19147987719681597,0.3035844250363901,1.1953464483359717,0.37840577288901683
pen-based,Agglomerative,6,euclidean,single,0.387521541910246,0.38752904208377004,-1.2221816273607628e-06,0.10453056768558952,0.7931778139297405,0.18205098076764104
pen-based,Agglomerative,6,manhattan,single,0.3340882919728756,0.33409133297391236,-1.5695853056370098e-05,0.10544032023289665,0.9270378943894869,0.18202889556348245
pen-based,Agglomerative,7,euclidean,complete,1.9578064170200378,1.957834417000413,0.29010097484148534,0.4287663755458515,1.6713782196031097,0.47313126254666815
pen-based,Agglomerative,7,manhattan,complete,1.6660401669796556,1.666042665950954,0.34948242322257184,0.5004548762736536,1.7040944158757116,0.5219634237244302
pen-based,Agglomerative,7,euclidean,average,1.7551032498013228,1.75510587496683,0.20819524643152887,0.36153566229985445,1.1784080757261397,0.44804659969768945
pen-based,Agglomerative,7,manhattan,average,2.1419209998566657,2.141949584009126,0.3324600130319256,0.39810771470160117,1.2611518372103387,0.4717548093469943
pen-based,Agglomerative,7,euclidean,single,0.3815089580602944,0.3815118749625981,-4.142587035011112e-06,0.10471251819505095,0.7998232833506321,0.18204680746549218
pen-based,Agglomerative,7,manhattan,single,0.32557083386927843,0.3255729579832405,-1.4058412281471532e-05,0.10553129548762737,0.9230585673538355,0.18202801097522794
pen-based,Agglomerative,8,euclidean,complete,2.5014143749140203,2.501698999898508,0.2895484299659202,0.42958515283842796,1.6213669904628443,0.47219560974560326
pen-based,Agglomerative,8,manhattan,complete,2.133330959128216,2.1333623328246176,0.3458704776864745,0.5004548762736536,1.790666498691098,0.5124220744552468
pen-based,Agglomerative,8,euclidean,average,2.053016541991383,2.0530200419016182,0.3682330082721269,0.4554221251819505,1.2037741651266667,0.5461564469782637
pen-based,Agglomerative,8,manhattan,average,2.194047291064635,2.194073917111382,0.3323458099674113,0.39810771470160117,1.2556217846162034,0.4717079865755632
pen-based,Agglomerative,8,euclidean,single,0.3864293750375509,0.3864321250002831,-2.512740780824607e-06,0.10480349344978165,0.8394024613338321,0.1820459111501654
pen-based,Agglomerative,8,manhattan,single,0.3284899580758065,0.3284924579784274,0.00017280009415605302,0.11044395924308588,1.0841415160531087,0.18198000918690074
pen-based,Agglomerative,9,euclidean,complete,2.016122082946822,2.0161260841414332,0.3109135824949037,0.4800764192139738,1.5946268332126636,0.5032042400994814
pen-based,Agglomerative,9,manhattan,complete,1.8926072078756988,1.8926417499314994,0.3494607405526428,0.5111899563318777,1.8478569399514977,0.5174019789446758
pen-based,Agglomerative,9,euclidean,average,2.3271567090414464,2.3271607500500977,0.3701136958597068,0.4602438136826783,1.2024431767275547,0.5475933711282945
pen-based,Agglomerative,9,manhattan,average,1.831446290947497,1.8314682918135077,0.3354273047223614,0.40529475982532753,1.3596178377349522,0.47420121928959225
pen-based,Agglomerative,9,euclidean,single,0.38283879216760397,0.38284116610884666,-4.054688816396443e-06,0.10489446870451237,0.8530191653858982,0.18204382374828915
pen-based,Agglomerative,9,manhattan,single,0.3320227079093456,0.3320255419239402,0.0001742779771918651,0.1105349344978166,1.059666810655277,0.18197911590961757
pen-based,Agglomerative,10,euclidean,complete,2.8738498331513256,2.873871457995847,0.35548170682585073,0.5334788937409025,1.6727931743985849,0.5420428621459822
pen-based,Agglomerative,10,manhattan,complete,1.825037542032078,1.825040458003059,0.393271419267102,0.5416666666666666,1.9259866554697336,0.5378460658975838
pen-based,Agglomerative,10,euclidean,average,2.1574204999487847,2.1574915000237525,0.4138254173871713,0.5558588064046579,1.117821164995154,0.6124474511700281
pen-based,Agglomerative,10,manhattan,average,1.863962500123307,1.863988084020093,0.36482913516162296,0.4621542940320233,1.245342164141357,0.5374808165751817
pen-based,Agglomerative,10,euclidean,single,0.38374612503685057,0.3837490421719849,-5.600823873117857e-06,0.10498544395924309,0.8698288623378831,0.1820417496032224
pen-based,Agglomerative,10,manhattan,single,0.3289472919423133,0.3289503750856966,0.00017171049528523572,0.11071688500727803,1.0375526269335102,0.1819749079029344
