dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure
adult,Agglomerative,2,euclidean,complete,354.2969230841845,354.297550290823,-0.01230557330438653,0.7607182343065395,2.5788987009644098,0.5776377117417666
adult,Agglomerative,2,manhattan,complete,284.46696208301,284.46731420909055,-0.03846834681154772,0.7607182343065395,2.6648339001546355,0.611923455857324
adult,Agglomerative,2,euclidean,average,286.60324437497184,286.603553583147,-0.00014302732311514675,0.7607182343065395,2.1840600037960765,0.7495654013994199
adult,Agglomerative,2,manhattan,average,308.6873157499358,308.6873371670954,-5.6129557888828813e-05,0.7607182343065395,1.4005635189508678,0.7497210412668203
adult,Agglomerative,2,euclidean,single,77.91364937485196,77.91365208290517,-2.8067313866905326e-05,0.7607182343065395,0.66773042603061,0.7497295629993657
adult,Agglomerative,2,manhattan,single,66.68200545897707,66.68200816703029,-2.8067313866905326e-05,0.7607182343065395,0.66773042603061,0.7497295629993657
adult,Agglomerative,3,euclidean,complete,265.8146808750462,265.81484237499535,-0.015707482294564368,0.7607182343065395,2.6623080524061096,0.5776377117417666
adult,Agglomerative,3,manhattan,complete,271.5043347091414,271.50466470909305,-0.04963249678837759,0.7607182343065395,3.3751656540609236,0.611923455857324
adult,Agglomerative,3,euclidean,average,253.69761745887809,253.69769587507471,-0.00014304619670439466,0.7607182343065395,1.6878216487213693,0.7495654013994199
adult,Agglomerative,3,manhattan,average,272.8945716249291,272.894830458099,0.0003302842880234138,0.7607182343065395,1.9869222168097014,0.7495802347441682
adult,Agglomerative,3,euclidean,single,73.93323933403008,73.93324170890264,-5.613123455399442e-05,0.7607182343065395,0.664936887004521,0.7497210412668203
adult,Agglomerative,3,manhattan,single,68.08532820804976,68.08535604202189,-5.613123455399442e-05,0.7607182343065395,0.664936887004521,0.7497210412668203
adult,Agglomerative,4,euclidean,complete,320.08896287484095,320.08911979198456,0.053872725098158394,0.7607182343065395,2.9823537494395076,0.5637860111681574
adult,Agglomerative,4,manhattan,complete,285.1019475411158,285.1022892910987,0.031216521870543048,0.7607182343065395,3.5001510162883838,0.5083572120419392
adult,Agglomerative,4,euclidean,average,252.41840908303857,252.41880625020713,-8.48504628311327e-05,0.7607182343065395,1.9950510467266502,0.7494279927812099
adult,Agglomerative,4,manhattan,average,272.3754101251252,272.37542716693133,-0.0015490887579191095,0.7607182343065395,2.3088291117870128,0.7489269318089586
adult,Agglomerative,4,euclidean,single,73.72075837501325,73.72076091705821,-8.419176242523625e-05,0.7607182343065395,0.6774335480003264,0.749712519351021
adult,Agglomerative,4,manhattan,single,67.04016266693361,67.04017920815386,-8.419176242523625e-05,0.7607182343065395,0.6774335480003264,0.749712519351021
adult,Agglomerative,5,euclidean,complete,265.35959445894696,265.35975045897067,0.028474492212422556,0.7607182343065395,3.083205564665753,0.5103491089378944
adult,Agglomerative,5,manhattan,complete,243.827675125096,243.82782720797695,0.014709041920863256,0.7607182343065395,3.5847165861265182,0.5083572120419392
adult,Agglomerative,5,euclidean,average,244.51621608412825,244.51656562485732,-8.827628810253103e-06,0.7607182343065395,2.0600412593296213,0.7493477206377729
adult,Agglomerative,5,manhattan,average,228.99326745793223,228.9935647500679,-0.0015490163124081311,0.7607182343065395,2.1868672935113005,0.7489269318089586
adult,Agglomerative,5,euclidean,single,71.49120779102668,71.49120987509377,-0.00011224889784454247,0.7607182343065395,0.7027431399158056,0.7497039972519629
adult,Agglomerative,5,manhattan,single,66.13528166688047,66.13528379192576,-0.00011224889784454247,0.7607182343065395,0.7027431399158056,0.7497039972519629
adult,Agglomerative,6,euclidean,complete,210.89359274995513,210.89380299998447,-0.0015791953304976451,0.7607182343065395,2.9240122748862056,0.463625529929894
adult,Agglomerative,6,manhattan,complete,219.40099941683002,219.40152187505737,-0.005587107551158046,0.7607182343065395,3.4766313588133055,0.45325592771204604
adult,Agglomerative,6,euclidean,average,195.01067891693674,195.01081766700372,-0.0014461445090612115,0.7607182343065395,2.205733170130506,0.7488550660567443
adult,Agglomerative,6,manhattan,average,191.2424174998887,191.2427662089467,-0.0015502930293892962,0.7607182343065395,2.240103376937366,0.7487965133083563
adult,Agglomerative,6,euclidean,single,71.34085308294743,71.34085516701452,-0.0001403026411757676,0.7607182343065395,0.7049769101067921,0.7496954749696396
adult,Agglomerative,6,manhattan,single,65.4807903340552,65.48079250007868,-0.0001403026411757676,0.7607182343065395,0.7049769101067921,0.7496954749696396
adult,Agglomerative,7,euclidean,complete,184.09685537498444,184.09730962500907,-0.012013761422874355,0.7607182343065395,3.3087323226677543,0.37886961027070964
adult,Agglomerative,7,manhattan,complete,233.06577983289026,233.06632683286443,-0.00944588007546285,0.7607182343065395,3.3602970488114408,0.45325592771204604
adult,Agglomerative,7,euclidean,average,221.20758979185484,221.20774479187094,-0.0011367700373715608,0.7607182343065395,2.1851342802714226,0.7487942234551416
adult,Agglomerative,7,manhattan,average,215.96775495796464,215.96791462483816,-0.0015522880036129665,0.7607182343065395,2.171215640807937,0.7487965133083563
adult,Agglomerative,7,euclidean,single,71.36603658320382,71.36603887495585,-0.00016835299278270877,0.7607182343065395,0.6975064443565412,0.7496869525040457
adult,Agglomerative,7,manhattan,single,65.42673170892522,65.4267336667981,-0.00016835299278270877,0.7607182343065395,0.6975064443565412,0.7496869525040457
adult,Agglomerative,8,euclidean,complete,202.9409220831003,202.94110912503675,-0.01519500793925594,0.7607182343065395,3.2563699438061096,0.37886961027070964
