dataset,algorithm,n_components,init_params,runtime_sec,bic,avg_log_likelihood,run_id,runtime,ari,purity,davies_bouldin,f_measure
mushroom,GaussianMixture,2,k-means++,0.14495645835995674,-596413.8271320176,43.71870080894815,5,0.1450224998407066,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.1455577085725963,-596413.8271320176,43.71870080894815,6,0.14568216586485505,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14279225002974272,-596413.8271320176,43.71870080894815,7,0.14288520766422153,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.14160224981606007,-596413.8271320176,43.71870080894815,8,0.14177625020965934,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,k-means++,0.1425042087212205,-596413.8271320176,43.71870080894815,9,0.1426878748461604,0.046442276125180024,0.38749384539635645,2.2707009296371066,0.39641160272023196
mushroom,GaussianMixture,2,random_from_data,0.16582195786759257,-601415.6462065896,44.02654294795431,0,0.16590058291330934,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.1639863746240735,-601415.6462065896,44.02654294795431,1,0.1641299156472087,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16889870818704367,-601415.6462065896,44.02654294795431,2,0.16908866679295897,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16439716704189777,-601415.6462065896,44.02654294795431,3,0.16451283264905214,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.1642014579847455,-601415.6462065896,44.02654294795431,4,0.16427541710436344,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.17186108324676752,-601415.6462065896,44.02654294795431,5,0.1719228751026094,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16678449977189302,-601415.6462065896,44.02654294795431,6,0.16687570791691542,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16444249963387847,-601415.6462065896,44.02654294795431,7,0.164620874915272,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16847916739061475,-601415.6462065896,44.02654294795431,8,0.16855829069390893,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,2,random_from_data,0.16909308265894651,-601415.6462065896,44.02654294795431,9,0.16917462507262826,0.11139338128554221,0.38749384539635645,2.2649821867899376,0.450149709087607
mushroom,GaussianMixture,3,kmeans,0.11210529087111354,-585947.6065720022,46.58072029041245,0,0.1122231250628829,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.10927762510254979,-585947.6065720022,46.58072029041245,1,0.10975895868614316,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.10707070911303163,-585947.6065720022,46.58072029041245,2,0.10753575013950467,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.11108054220676422,-585947.6065720022,46.58072029041245,3,0.11116383317857981,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.10743158310651779,-585947.6065720022,46.58072029041245,4,0.10750845819711685,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.10878708306699991,-585947.6065720022,46.58072029041245,5,0.10881358431652188,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.11267104092985392,-585947.6065720022,46.58072029041245,6,0.11270233290269971,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.11173299979418516,-585947.6065720022,46.58072029041245,7,0.11181158432736993,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.10580395814031363,-585947.6065720022,46.58072029041245,8,0.10593479219824076,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,kmeans,0.11004091706126928,-585947.6065720022,46.58072029041245,9,0.11038412479683757,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227
mushroom,GaussianMixture,3,random,0.2654966660775244,-599746.6472397223,47.4299965501195,0,0.2656292077153921,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2566594579257071,-599746.6472397223,47.4299965501195,1,0.25673808297142386,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2575022499077022,-599746.6472397223,47.4299965501195,2,0.2575362091884017,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2576417909003794,-599746.6472397223,47.4299965501195,3,0.2577340407297015,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2554800002835691,-599746.6472397223,47.4299965501195,4,0.255601457785815,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2598965000361204,-599746.6472397223,47.4299965501195,5,0.2599962502717972,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.26141783269122243,-599746.6472397223,47.4299965501195,6,0.261480666231364,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2575114583596587,-599746.6472397223,47.4299965501195,7,0.25765341566875577,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.25569191575050354,-599746.6472397223,47.4299965501195,8,0.2557971659116447,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,random,0.2590351668186486,-599746.6472397223,47.4299965501195,9,0.2591063342988491,0.21072948682664247,0.5199409158050221,2.7055097132149246,0.5233875552354105
mushroom,GaussianMixture,3,k-means++,0.16831225017085671,-582917.7740907947,46.39424611013134,0,0.16849645785987377,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.18225204199552536,-582917.7740907947,46.39424611013134,1,0.1826069583185017,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.1768768336623907,-582917.7740907947,46.39424611013134,2,0.17709745792672038,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.17182645807042718,-582917.7740907947,46.39424611013134,3,0.17194312484934926,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.17597470805048943,-582917.7740907947,46.39424611013134,4,0.1761067919433117,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.17181150009855628,-582917.7740907947,46.39424611013134,5,0.17191208386793733,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.16737774992361665,-582917.7740907947,46.39424611013134,6,0.16747174970805645,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.17114704195410013,-582917.7740907947,46.39424611013134,7,0.17127162544056773,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.16740274988114834,-582917.7740907947,46.39424611013134,8,0.16747112525627017,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,k-means++,0.16853429190814495,-582917.7740907947,46.39424611013134,9,0.168698875233531,0.13031233205695464,0.517479074347612,2.0314487528269143,0.48742582679439794
mushroom,GaussianMixture,3,random_from_data,0.2042709169909358,-595689.2346279547,47.18027888568279,0,0.2043986669741571,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20423487527295947,-595689.2346279547,47.18027888568279,1,0.20442970795556903,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
mushroom,GaussianMixture,3,random_from_data,0.20385508378967643,-595689.2346279547,47.18027888568279,2,0.20395654113963246,0.24143684758298367,0.5435745937961596,2.4890395503489353,0.5213814593297723
