dataset,algorithm,n_components,init_params,runtime_sec,bic,avg_log_likelihood,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,GaussianMixture,2,kmeans,0.06084683258086443,-146335.59110207454,6.7855527939176445,0,0.06093833362683654,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.04180108290165663,-146335.59110207454,6.7855527939176445,1,0.04185545910149813,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.04075541580095887,-146335.59110207454,6.7855527939176445,2,0.04082816606387496,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.042387917172163725,-146335.59110207454,6.7855527939176445,3,0.04243104066699743,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.04054508311673999,-146335.59110207454,6.7855527939176445,4,0.040587916038930416,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.03950429195538163,-146335.59110207454,6.7855527939176445,5,0.039548374712467194,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.040783791802823544,-146335.59110207454,6.7855527939176445,6,0.040825583040714264,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.039898999966681004,-146335.59110207454,6.7855527939176445,7,0.03993291687220335,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.03936162497848272,-146335.59110207454,6.7855527939176445,8,0.039394875057041645,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,kmeans,0.04049508320167661,-146335.59110207454,6.7855527939176445,9,0.04052741685882211,0.11173768853451616,0.20633187772925765,1.7737390415304037,0.29426981983167466
pen-based,GaussianMixture,2,random,0.08390062535181642,-150555.84317461288,6.977522047581142,0,0.08394029177725315,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.08365570800378919,-150555.84317461288,6.977522047581142,1,0.08368791732937098,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07818600023165345,-150555.84317461288,6.977522047581142,2,0.078231249935925,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07801041705533862,-150555.84317461288,6.977522047581142,3,0.07803883403539658,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07915008394047618,-150555.84317461288,6.977522047581142,4,0.07919433386996388,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07973666721954942,-150555.84317461288,6.977522047581142,5,0.07977566635236144,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.08510333392769098,-150555.84317461288,6.977522047581142,6,0.0851328750140965,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07858079159632325,-150555.84317461288,6.977522047581142,7,0.07861566683277488,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07967841578647494,-150555.84317461288,6.977522047581142,8,0.07970841694623232,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,random,0.07856037514284253,-150555.84317461288,6.977522047581142,9,0.07858862495049834,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601
pen-based,GaussianMixture,2,k-means++,0.09800916677340865,-147624.8330189031,6.84419734981414,0,0.09805170819163322,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09924583276733756,-147624.8330189031,6.84419734981414,1,0.09927395824342966,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09652474988251925,-147624.8330189031,6.84419734981414,2,0.09656012523919344,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09958679229021072,-147624.8330189031,6.84419734981414,3,0.09968366613611579,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09673687489703298,-147624.8330189031,6.84419734981414,4,0.09677399974316359,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09838504204526544,-147624.8330189031,6.84419734981414,5,0.09841704135760665,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09719912521541119,-147624.8330189031,6.84419734981414,6,0.09724283311516047,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09815354226157069,-147624.8330189031,6.84419734981414,7,0.09818199975416064,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
pen-based,GaussianMixture,2,k-means++,0.09998891595751047,-147624.8330189031,6.84419734981414,8,0.10002962499856949,0.10759628705567624,0.20624090247452692,1.7643477379829002,0.29318106237724706
