dataset,algorithm,runtime_sec,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood
pen-based,GaussianMixture,1.195810748000099,0.10622916436199442,0.8824599708879185,1.7577755597102886,0.292546847309571,2.0,kmeans,-147700.4618250282,6.847637524765246
pen-based,GaussianMixture,0.6239105130000553,0.14377001200811043,0.9028384279475983,2.0085255551545416,0.3032931428901383,2.0,random_from_data,-149798.61185919965,6.943077391676247
pen-based,GaussianMixture,1.2111487820000093,0.19151770987778408,0.8624454148471615,1.4312813484451146,0.3890092728595802,3.0,kmeans,-186777.21149743933,8.689904759737217
pen-based,GaussianMixture,1.2722942720000674,0.21190695350219552,0.8284206695778749,2.1779555222076685,0.38559930543535975,3.0,random_from_data,-203109.78653053482,9.432834846759393
pen-based,GaussianMixture,3.93515038999999,0.29293877887288056,0.8268740902474527,1.6680274975318399,0.47868291798563556,4.0,kmeans,-237135.28098241737,11.045332466532649
pen-based,GaussianMixture,2.268497297999943,0.31946828550223616,0.8131368267831149,2.4149401148361305,0.46811057221018865,4.0,random_from_data,-229465.71663215413,10.696462181313251
