dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel
mushroom,KMeans_FEKM,2,0,71904.50782823094,euclidean,1.787592041771859,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_FEKM,2,0,143863.08354587806,manhattan,1.7910000830888748,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_FEKM,3,0,68774.82252559924,euclidean,1.8146600420586765,0.1213593478018395,0.4263909404234367,2.2643826407917698,0.4447936980622571,
mushroom,KMeans_FEKM,3,0,124737.45326462228,manhattan,1.7925187088549137,0.09472816409480771,0.38749384539635645,1.6314813192149058,0.42350228896492653,
mushroom,KMeans_FEKM,4,0,58373.611401931405,euclidean,1.8414419163018465,0.13876115005897988,0.4219596258000985,1.970559626732911,0.44833072946868835,
mushroom,KMeans_FEKM,4,0,111818.69863509582,manhattan,1.9111173748970032,0.1504173321184068,0.5071393402264894,1.8095306515796292,0.48929017550380677,
mushroom,KMeans_FEKM,5,0,56133.53890424099,euclidean,1.921433333773166,0.16658049121048082,0.44091580502215655,1.8424086293169573,0.455289068681498,
mushroom,KMeans_FEKM,5,0,106569.44749889954,manhattan,1.9115372500382364,0.2135099003533177,0.5320039389463319,1.828634191136444,0.5283638147991762,
mushroom,KMeans_FEKM,6,0,59186.88358318971,euclidean,1.9940461250953376,0.1870523858165474,0.5534219596258001,1.9027675415527725,0.5132415909807275,
mushroom,KMeans_FEKM,6,0,100622.86160878309,manhattan,2.023363084066659,0.18726353847856278,0.51698670605613,1.8062243406169844,0.48451851410223423,
mushroom,KMeans_FEKM,7,0,60085.011085423976,euclidean,1.9358784169889987,0.15062273468088916,0.5420974889217134,1.6065574055039888,0.49049065519387874,
mushroom,KMeans_FEKM,7,0,99403.91845296689,manhattan,2.0321227912791073,0.18726920453806067,0.5199409158050221,1.711791039814306,0.483269992017292,
mushroom,KMeans_FEKM,8,0,48595.49358520268,euclidean,2.0627616671845317,0.21426144940269215,0.5504677498769079,1.6701927920007993,0.5093198758116918,
mushroom,KMeans_FEKM,8,0,92660.18615257734,manhattan,2.129999792203307,0.20335676165976566,0.5445593303791236,1.6170948560319296,0.5053611860671351,
mushroom,KMeans_FEKM,9,0,47744.17634847422,euclidean,1.9949950841255486,0.21096807486938304,0.5657311669128509,1.616710816347121,0.5155116760946543,
mushroom,KMeans_FEKM,9,0,89964.66239457233,manhattan,2.260396624915302,0.20646255002079536,0.5637616937469226,1.5860978922782363,0.5126483280831474,
mushroom,KMeans_FEKM,10,0,44927.9358431017,euclidean,2.4482585838995874,0.2197575979936028,0.5657311669128509,1.5027141560780628,0.5221875174295482,
mushroom,KMeans_FEKM,10,0,81825.45297297297,manhattan,2.1826246245764196,0.293793979376214,0.6070901033973413,1.46219343849421,0.567430440080823,
