dataset,algorithm,n_components,init_params,runtime_sec,bic,avg_log_likelihood,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,GaussianMixture,2,kmeans,0.6809919169172645,-12236199.748300992,126.5165339963238,0,0.6851316248066723,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6370456670410931,-12236199.748300992,126.5165339963238,1,0.6383697912096977,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.623686040751636,-12236199.748300992,126.5165339963238,2,0.6248508752323687,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6348459580913186,-12236199.748300992,126.5165339963238,3,0.636631999630481,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6340260840952396,-12236199.748300992,126.5165339963238,4,0.6352918748743832,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6552756251767278,-12236199.748300992,126.5165339963238,5,0.6566022499464452,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6404049172997475,-12236199.748300992,126.5165339963238,6,0.6416797088459134,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6350745409727097,-12236199.748300992,126.5165339963238,7,0.6364345410838723,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.628266999963671,-12236199.748300992,126.5165339963238,8,0.6296652499586344,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,kmeans,0.6246259999461472,-12236199.748300992,126.5165339963238,9,0.6258755419403315,0.18411871682539138,0.7607182343065395,2.05707408620705,0.738180831529691
adult,GaussianMixture,2,random,1.4893932091072202,-13928092.652717018,143.83659566881906,0,1.490648957900703,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.502219875343144,-13928092.652717018,143.83659566881906,1,1.5037962906062603,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.5003319173119962,-13928092.652717018,143.83659566881906,2,1.5015281671658158,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.4897421253845096,-13928092.652717018,143.83659566881906,3,1.4911120408214629,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.4936481667682528,-13928092.652717018,143.83659566881906,4,1.4948338749818504,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.504435791168362,-13928092.652717018,143.83659566881906,5,1.5058814999647439,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.501468624919653,-13928092.652717018,143.83659566881906,6,1.502694417256862,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.5005119577981532,-13928092.652717018,143.83659566881906,7,1.5019302917644382,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.495717542245984,-13928092.652717018,143.83659566881906,8,1.49724708404392,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,random,1.4952962091192603,-13928092.652717018,143.83659566881906,9,1.4965575826354325,-0.0008740733242776997,0.7607182343065395,6.164550017089599,0.7036970557546227
adult,GaussianMixture,2,k-means++,1.7477617501281202,-12268532.849343428,126.84753089491964,0,1.7494566668756306,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7576921246945858,-12268532.849343428,126.84753089491964,1,1.758938499726355,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.750519999768585,-12268532.849343428,126.84753089491964,2,1.7518051671795547,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7486620410345495,-12268532.849343428,126.84753089491964,3,1.749994999729097,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7366545000113547,-12268532.849343428,126.84753089491964,4,1.7379825827665627,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7420453750528395,-12268532.849343428,126.84753089491964,5,1.7435107911005616,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7473587500862777,-12268532.849343428,126.84753089491964,6,1.7488147499971092,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7411402915604413,-12268532.849343428,126.84753089491964,7,1.742358208168298,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.781470499932766,-12268532.849343428,126.84753089491964,8,1.782870250288397,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
adult,GaussianMixture,2,k-means++,1.7579225832596421,-12268532.849343428,126.84753089491964,9,1.759178124833852,0.08835665100857751,0.7607182343065395,2.3564099205472395,0.6748665174605838
