dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id
pen-based,Agglomerative,2.0,euclidean,complete,1.0630010830063839,1.063009375007823,0.06422042672398803,0.19732532751091703,1.7277671583610852,0.27853342487299587,,,,,
pen-based,Agglomerative,2.0,manhattan,complete,0.9721945000055712,0.9721967919904273,0.057823608809789345,0.19796215429403202,2.3756310999779706,0.2673364538966075,,,,,
pen-based,Agglomerative,2.0,euclidean,average,0.9664961250091437,0.9664980829984415,0.06478281523771841,0.19859898107714702,1.5148243683668403,0.2887444679671893,,,,,
pen-based,Agglomerative,2.0,manhattan,average,0.9791908329934813,0.9791921249998268,0.06163049275929982,0.19823508005822416,1.517468649016897,0.2858620991586969,,,,,
pen-based,Agglomerative,2.0,euclidean,single,0.2257804999826476,0.22578249999787658,-1.546883878111324e-06,0.10416666666666667,0.7646132469389235,0.18205691534613846,,,,,
pen-based,Agglomerative,2.0,manhattan,single,0.19180654198862612,0.19180825000512414,1.6912462270240213e-06,0.10416666666666667,0.6874415088687771,0.18205811934563831,,,,,
pen-based,Agglomerative,3.0,euclidean,complete,0.9391099159838632,0.9391116669867188,0.1886404753075065,0.29284934497816595,1.9632736935164647,0.35210078816335605,,,,,
pen-based,Agglomerative,3.0,manhattan,complete,0.9236889590101782,0.9236912500055041,0.21405590806329783,0.3012190684133916,1.917924920959271,0.37311778690842456,,,,,
pen-based,Agglomerative,3.0,euclidean,average,0.9590205419808626,0.9590224169951398,0.06488897113956857,0.19878093158660845,1.3725155024875724,0.28877260133507976,,,,,
pen-based,Agglomerative,3.0,manhattan,average,0.9654908330121543,0.9654923749912996,0.06113301808969427,0.1985080058224163,1.4630387471670991,0.28632507699727316,,,,,
pen-based,Agglomerative,3.0,euclidean,single,0.22478629200486466,0.22478766698623076,1.407025265037946e-07,0.10425764192139737,0.7388804214284003,0.18205603411477397,,,,,
pen-based,Agglomerative,3.0,manhattan,single,0.19147954098298214,0.19148074998520315,1.407025265037946e-07,0.10425764192139737,0.76168923751255,0.18205603411477397,,,,,
pen-based,Agglomerative,4.0,euclidean,complete,0.9345347079797648,0.934536290995311,0.18981425657445733,0.299490538573508,1.8415183083530406,0.38049111269929625,,,,,
pen-based,Agglomerative,4.0,manhattan,complete,0.924741000024369,0.9247427499794867,0.24364851209738525,0.35207423580786024,1.8448515997100206,0.42059858207141965,,,,,
pen-based,Agglomerative,4.0,euclidean,average,0.9722677920071874,0.9722694169904571,0.06517636821654012,0.20087336244541484,1.2475084002990848,0.28969459235831113,,,,,
pen-based,Agglomerative,4.0,manhattan,average,0.9658307500067167,0.9658320829912554,0.061131636411843486,0.19868995633187772,1.2727264527086082,0.28632507699727316,,,,,
pen-based,Agglomerative,4.0,euclidean,single,0.22811470800661482,0.22811624998576008,-1.4140266163760097e-06,0.10434861717612809,0.7624072201385284,0.18205394854851847,,,,,
pen-based,Agglomerative,4.0,manhattan,single,0.1911718750197906,0.19117304097744636,-1.377217777893402e-06,0.10434861717612809,0.7580118300492239,0.18205394854851847,,,,,
pen-based,Agglomerative,5.0,euclidean,complete,0.9486230830079876,0.9486502500076313,0.25116381195130677,0.3611717612809316,1.6212065865853653,0.42234677762427836,,,,,
pen-based,Agglomerative,5.0,manhattan,complete,0.9156334169965703,0.9156346670060884,0.252314989620314,0.36808588064046577,1.7884680842718559,0.4443646124720921,,,,,
pen-based,Agglomerative,5.0,euclidean,average,0.9711660419998225,0.9711677499872167,0.1918601943856886,0.30458515283842796,1.282984546610852,0.38299696163410196,,,,,
pen-based,Agglomerative,5.0,manhattan,average,0.9589501250011381,0.9589519159926567,0.06112944970787622,0.19969068413391558,1.1526110862438164,0.28632507699727316,,,,,
pen-based,Agglomerative,5.0,euclidean,single,0.22566895798081532,0.22567045799223706,-2.9361283711561825e-06,0.1044395924308588,0.7593239995872711,0.18205186264679096,,,,,
pen-based,Agglomerative,5.0,manhattan,single,0.18892362498445436,0.1889246669888962,-1.409150770729942e-05,0.10534934497816593,0.9200177220962903,0.18203098516074642,,,,,
pen-based,Agglomerative,6.0,euclidean,complete,0.943029916001251,0.9430314580095001,0.2881187858099288,0.39874454148471616,1.596336163402359,0.45144233000567,,,,,
pen-based,Agglomerative,6.0,manhattan,complete,0.9278421250055544,0.9278440420166589,0.3373742323139541,0.4595160116448326,1.8662196510412228,0.49923942982037084,,,,,
pen-based,Agglomerative,6.0,euclidean,average,0.9735675420088228,0.9735690829984378,0.20893812249691374,0.36153566229985445,1.2077436665360632,0.4485538086248987,,,,,
pen-based,Agglomerative,6.0,manhattan,average,0.9607817080104724,0.9607831249886658,0.19147987719681597,0.3035844250363901,1.1953464483359717,0.37840577288901683,,,,,
pen-based,Agglomerative,6.0,euclidean,single,0.22784412500914186,0.22784541599685326,-1.2221816273607628e-06,0.10453056768558952,0.7931778139297405,0.18205098076764104,,,,,
pen-based,Agglomerative,6.0,manhattan,single,0.1908173749980051,0.19081879200530238,-1.5695853056370098e-05,0.10544032023289665,0.9270378943894869,0.18202889556348245,,,,,
pen-based,Agglomerative,7.0,euclidean,complete,0.9545095420035068,0.9545109999889974,0.29010097484148534,0.4287663755458515,1.67137821960311,0.47313126254666815,,,,,
pen-based,Agglomerative,7.0,manhattan,complete,0.9183615829970222,0.9183633339998778,0.34948242322257184,0.5004548762736536,1.7040944158757116,0.5219634237244302,,,,,
pen-based,Agglomerative,7.0,euclidean,average,0.9891077920037787,0.9891094579943456,0.20819524643152887,0.36153566229985445,1.1784080757261397,0.44804659969768945,,,,,
pen-based,Agglomerative,7.0,manhattan,average,0.9602340410056058,0.9602358749834821,0.3324600130319256,0.39810771470160117,1.2611518372103385,0.4717548093469943,,,,,
