dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel
mushroom,KMeans_Standard,2,0,71904.50782823094,euclidean,0.041487209033221006,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,1,71904.50782823094,euclidean,0.03334141708910465,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,2,71904.50782823094,euclidean,0.020027250051498413,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,3,71904.50782823094,euclidean,0.035511457826942205,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,4,75412.8332780984,euclidean,0.034279999788850546,0.08670558259576755,0.38749384539635645,1.753691508701524,0.4512576142952539,
mushroom,KMeans_Standard,2,5,71904.50782823094,euclidean,0.025910499971359968,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,6,71904.50782823094,euclidean,0.027349666692316532,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,7,75743.12829525484,euclidean,0.04293120885267854,0.002677993639370229,0.38749384539635645,1.535796200162925,0.39307228594426485,
mushroom,KMeans_Standard,2,8,71904.50782823094,euclidean,0.05626341700553894,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,9,71904.50782823094,euclidean,0.02407616702839732,0.0833097337412137,0.38749384539635645,2.0021070417937126,0.4322054456422087,
mushroom,KMeans_Standard,2,0,143875.17178581795,manhattan,0.054637708235532045,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465,
mushroom,KMeans_Standard,2,1,143875.17178581795,manhattan,0.051167500205338,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465,
mushroom,KMeans_Standard,2,2,143863.08354587806,manhattan,0.03635920910164714,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_Standard,2,3,143863.08354587806,manhattan,0.05467520887032151,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_Standard,2,4,143875.17178581795,manhattan,0.05893183313310146,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465,
mushroom,KMeans_Standard,2,5,143875.17178581795,manhattan,0.04334383411332965,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465,
mushroom,KMeans_Standard,2,6,143875.17178581795,manhattan,0.05402074987068772,0.08688298871217755,0.38749384539635645,2.0106043674103606,0.4346686363374465,
mushroom,KMeans_Standard,2,7,143863.08354587806,manhattan,0.0745016667060554,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_Standard,2,8,143863.08354587806,manhattan,0.07712650019675493,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_Standard,2,9,143875.42623012458,manhattan,0.03803662536665797,0.08645163828276882,0.38749384539635645,2.0094698237035766,0.4343790378220486,
mushroom,KMeans_Standard,3,0,68011.46522934959,euclidean,0.12731199990957975,0.18919922729029887,0.517232890201871,2.445509347415694,0.5188592294506073,
mushroom,KMeans_Standard,3,1,61550.20659937108,euclidean,0.07714879186823964,0.0976768742444354,0.38749384539635645,1.5173351281896366,0.4366070950547582,
mushroom,KMeans_Standard,3,2,65784.58637792361,euclidean,0.08164391620084643,0.2305735800006873,0.5563761693746923,2.281586596955454,0.552756968334348,
mushroom,KMeans_Standard,3,3,68929.16122276551,euclidean,0.1255215830169618,0.1440448548005856,0.5115706548498277,2.1095408751724465,0.5105129469196531,
mushroom,KMeans_Standard,3,4,67212.84600257165,euclidean,0.10973674990236759,0.11938353736110183,0.43156080748399805,2.48272118999696,0.4335787600125338,
mushroom,KMeans_Standard,3,5,61550.20659937108,euclidean,0.04350604210048914,0.0976768742444354,0.38749384539635645,1.5173351281896366,0.4366070950547582,
mushroom,KMeans_Standard,3,6,65788.81518161262,euclidean,0.10656054085120559,0.1483533415859497,0.517479074347612,2.009859431415675,0.5111829570554227,
mushroom,KMeans_Standard,3,7,61550.20659937107,euclidean,0.04113495908677578,0.0976768742444354,0.38749384539635645,1.5173351281896366,0.4366070950547582,
mushroom,KMeans_Standard,3,8,68485.79909286581,euclidean,0.12402966665104032,0.1480119352273321,0.4263909404234367,2.4193204263490635,0.45229401131303054,
mushroom,KMeans_Standard,3,9,61550.20659937108,euclidean,0.05233866721391678,0.0976768742444354,0.38749384539635645,1.5173351281896366,0.4366070950547582,
mushroom,KMeans_Standard,3,0,131768.51081279636,manhattan,0.19568199990317225,0.131266953809904,0.499753815854259,2.1393478330346096,0.4897729870744007,
mushroom,KMeans_Standard,3,1,124784.2797130364,manhattan,0.19417145801708102,0.09468344459005333,0.38749384539635645,1.6328930701358109,0.4233256899324207,
mushroom,KMeans_Standard,3,2,131768.51081279636,manhattan,0.16539462516084313,0.131266953809904,0.499753815854259,2.1393478330346096,0.4897729870744007,
mushroom,KMeans_Standard,3,3,131753.27933410907,manhattan,0.12265670765191317,0.1325009137066531,0.5007385524372231,2.135466142276443,0.49076357602041987,
mushroom,KMeans_Standard,3,4,134260.4526926479,manhattan,0.10798695916309953,0.1366093962374744,0.4635647464303299,2.5814972349876215,0.4631027316582429,
mushroom,KMeans_Standard,3,5,124737.45326462228,manhattan,0.08569395868107677,0.09472816409480771,0.38749384539635645,1.6314813192149054,0.42350228896492653,
mushroom,KMeans_Standard,3,6,131753.27933410907,manhattan,0.08683550031855702,0.1325009137066531,0.5007385524372231,2.135466142276443,0.49076357602041987,
mushroom,KMeans_Standard,3,7,124756.00620209647,manhattan,0.08319325000047684,0.09476283706316334,0.38749384539635645,1.631957461513263,0.42349719179459494,
mushroom,KMeans_Standard,3,8,136971.59818573162,manhattan,0.09901216719299555,0.1480119352273321,0.4263909404234367,2.4193204263490635,0.45229401131303054,
mushroom,KMeans_Standard,3,9,124756.00620209647,manhattan,0.0807922501116991,0.09476283706316334,0.38749384539635645,1.631957461513263,0.42349719179459494,
mushroom,KMeans_Standard,4,0,55434.51395275275,euclidean,0.18983512511476874,0.17046737498584497,0.517479074347612,1.7426430400875579,0.5155846064679722,
