dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure
mushroom,Agglomerative,2,euclidean,complete,1.50400675018318,1.5040151660796255,0.08515916817831792,0.38749384539635645,2.009081686768227,0.4345869518126977
mushroom,Agglomerative,2,manhattan,complete,1.7173197499942034,1.7173220000695437,0.08515916817831792,0.38749384539635645,2.009081686768227,0.4345869518126977
mushroom,Agglomerative,2,euclidean,average,1.5000597080215812,1.5000626670662314,-0.002312786553014739,0.38749384539635645,1.447273672457769,0.38727217735807584
mushroom,Agglomerative,2,manhattan,average,1.798867000034079,1.798871000064537,-0.002312786553014739,0.38749384539635645,1.447273672457769,0.38727217735807584
mushroom,Agglomerative,2,euclidean,single,2.2480145001318306,2.2480178750120103,-0.003108108889026335,0.38749384539635645,1.1825491300137296,0.38716170514018483
mushroom,Agglomerative,2,manhattan,single,2.0761717080604285,2.0761790829710662,-0.003108108889026335,0.38749384539635645,1.1825491300137296,0.38716170514018483
mushroom,Agglomerative,3,euclidean,complete,1.468889124924317,1.4688927079550922,0.08465205424867686,0.38749384539635645,1.7600090130005555,0.4352235001851994
mushroom,Agglomerative,3,manhattan,complete,1.7433794580865651,1.743382832966745,0.08465205424867686,0.38749384539635645,1.7600090130005555,0.4352235001851994
mushroom,Agglomerative,3,euclidean,average,1.6133580838795751,1.6133652080316097,0.08510307646147312,0.38749384539635645,1.7828303216964807,0.43271865203165816
mushroom,Agglomerative,3,manhattan,average,1.7333957920782268,1.7334092918317765,0.08510307646147312,0.38749384539635645,1.7828303216964807,0.43271865203165816
mushroom,Agglomerative,3,euclidean,single,2.219255124917254,2.219257958000526,0.018925484835618487,0.41112752338749387,1.360195122272042,0.4132321146406269
mushroom,Agglomerative,3,manhattan,single,2.0253562920261174,2.0253586671315134,0.018925484835618487,0.41112752338749387,1.360195122272042,0.4132321146406269
mushroom,Agglomerative,4,euclidean,complete,1.4522047499194741,1.4522100419271737,0.19558982636406363,0.5233874938453964,2.25283766737823,0.5251134919002873
mushroom,Agglomerative,4,manhattan,complete,1.7014413750730455,1.7014449168927968,0.19558982636406363,0.5233874938453964,2.25283766737823,0.5251134919002873
mushroom,Agglomerative,4,euclidean,average,1.473176916129887,1.4731985409744084,0.11551508539679155,0.41112752338749387,1.6742204732521562,0.4478084851416788
mushroom,Agglomerative,4,manhattan,average,1.703384333057329,1.7033874578773975,0.11551508539679155,0.41112752338749387,1.6742204732521562,0.4478084851416788
mushroom,Agglomerative,4,euclidean,single,2.2314280418213457,2.231466834200546,0.019877642980625786,0.4121122599704579,1.275396692647511,0.4135196591121022
mushroom,Agglomerative,4,manhattan,single,2.0477522499859333,2.047755833948031,0.019877642980625786,0.4121122599704579,1.275396692647511,0.4135196591121022
mushroom,Agglomerative,5,euclidean,complete,1.4761996250599623,1.4762427499517798,0.21323732456011782,0.5480059084194978,2.0850569528275993,0.5325284626292253
mushroom,Agglomerative,5,manhattan,complete,1.7297524160239846,1.729755625128746,0.21323732456011782,0.5480059084194978,2.0850569528275993,0.5325284626292253
mushroom,Agglomerative,5,euclidean,average,1.4846963749732822,1.484699291177094,0.11552504052991881,0.4121122599704579,1.4703572037972417,0.4478084851416788
mushroom,Agglomerative,5,manhattan,average,1.7462274171411991,1.7462329999543726,0.11552504052991881,0.4121122599704579,1.4703572037972417,0.4478084851416788
mushroom,Agglomerative,5,euclidean,single,2.2320458330214024,2.23204950010404,0.020562764028750593,0.4121122599704579,1.3112360554405493,0.4145105347256724
mushroom,Agglomerative,5,manhattan,single,2.050894625019282,2.050904667004943,0.020562764028750593,0.4121122599704579,1.3112360554405493,0.4145105347256724
mushroom,Agglomerative,6,euclidean,complete,1.473379666917026,1.4733831251505762,0.23764760827572798,0.567700640078779,2.0901522022163763,0.5521146658871479
mushroom,Agglomerative,6,manhattan,complete,1.7303483749274164,1.730351165868342,0.23764760827572798,0.567700640078779,2.0901522022163763,0.5521146658871479
mushroom,Agglomerative,6,euclidean,average,1.6292704578954726,1.6293832089286298,0.13497446409090014,0.4121122599704579,1.3144793497654959,0.4449444467707459
mushroom,Agglomerative,6,manhattan,average,1.88395716692321,1.8839840828441083,0.13497446409090014,0.4121122599704579,1.3144793497654959,0.4449444467707459
mushroom,Agglomerative,6,euclidean,single,2.5618867909070104,2.561890499899164,0.13497446409090014,0.4121122599704579,1.3144793497654959,0.4449444467707459
mushroom,Agglomerative,6,manhattan,single,2.0660135420039296,2.066017583012581,0.13497446409090014,0.4121122599704579,1.3144793497654959,0.4449444467707459
mushroom,Agglomerative,7,euclidean,complete,1.4837624169886112,1.4837798750959337,0.2723960577614235,0.567700640078779,1.9056814428277273,0.5559766112273119
mushroom,Agglomerative,7,manhattan,complete,1.6704934579320252,1.6706371251493692,0.2723960577614235,0.567700640078779,1.9056814428277273,0.5559766112273119
mushroom,Agglomerative,7,euclidean,average,1.4244427080266178,1.4244770410005003,0.1565794090473968,0.5066469719350074,1.3423101922139369,0.4761231437758699
mushroom,Agglomerative,7,manhattan,average,1.8263544167857617,1.8263580000493675,0.1565794090473968,0.5066469719350074,1.3423101922139369,0.4761231437758699
mushroom,Agglomerative,7,euclidean,single,2.216744374949485,2.2167471249122173,0.13362414628981903,0.4121122599704579,1.452301114438464,0.44589138639714554
mushroom,Agglomerative,7,manhattan,single,1.9966691250447184,1.9966754589695483,0.13362414628981903,0.4121122599704579,1.452301114438464,0.44589138639714554
