dataset,preprocessing,n_features_orig,n_features_reduced,algorithm,n_clusters,run_id,inertia,runtime,ari,purity,davies_bouldin,f_measure
adult,PCA_2D,105,2,KMeans_FEKM,2,0,22347.734174584126,5.046884838000096,0.1799041039987715,0.7607182343065395,0.5471796178423799,0.7357686020996449
adult,PCA_2D,105,2,KMeans_FEKM,3,0,8530.808418690292,4.860866534000024,0.04271223114898592,0.7607182343065395,0.537605113480386,0.5489388062948077
adult,PCA_2D,105,2,KMeans_FEKM,4,0,4497.099797813895,4.856747803999951,0.008003991141173086,0.7607182343065395,0.472973923868644,0.4891174861046299
adult,PCA_2D,105,2,KMeans_FEKM,5,0,2804.6476228816728,4.853877815000033,-0.010036251984539809,0.7607182343065395,0.4645948652768387,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,6,0,1802.6518606398517,4.833601356999907,-0.006050446879598261,0.7607182343065395,0.4403040274625282,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,7,0,1545.6950453948557,4.91757647899999,-0.01640084466006331,0.7607182343065395,0.5166887344657753,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,8,0,1388.8820059127654,4.982218633999992,-0.02818150159940755,0.7607182343065395,0.614534518262585,0.4271315759315695
adult,PCA_2D,105,2,KMeans_FEKM,9,0,1328.1897597172967,5.192535496000119,-0.027958474367171148,0.7607182343065395,0.651789568093059,0.4254967206148851
adult,PCA_2D,105,2,KMeans_FEKM,10,0,1288.30351337057,5.092890885000088,-0.027521501831051128,0.7628884976045207,0.6817794687602935,0.42547937066967245
adult,PCA_3D,105,3,KMeans_FEKM,2,0,37321.27270971675,4.874716603000024,0.1799041039987715,0.7607182343065395,0.8527623039720936,0.7357686020996449
adult,PCA_3D,105,3,KMeans_FEKM,3,0,23504.08793858648,4.861260893999997,0.04271912389393261,0.7607182343065395,0.9095583198229781,0.5489580372614801
adult,PCA_3D,105,3,KMeans_FEKM,4,0,19187.39059301983,4.9612488959999155,0.007933736555517544,0.7607182343065395,0.971022360780692,0.4886398393288064
adult,PCA_3D,105,3,KMeans_FEKM,5,0,14319.877182506349,4.952164547000166,0.045848214131752094,0.7781827116006715,0.8467972510435441,0.4826571723750205
adult,PCA_3D,105,3,KMeans_FEKM,6,0,11450.209946266328,4.937012178000032,0.03656449403187284,0.7783669792391794,0.7466295311966089,0.47838442443430845
adult,PCA_3D,105,3,KMeans_FEKM,7,0,8501.07963832338,5.0945613940000385,0.013985072687653095,0.7782441341468408,0.7641504169558707,0.3738619982228917
adult,PCA_3D,105,3,KMeans_FEKM,8,0,8750.529237723653,5.087790145000099,0.01317807920963868,0.7787969370623644,0.8768843733658778,0.399583661307807
adult,PCA_3D,105,3,KMeans_FEKM,9,0,6339.841574969297,5.070913566000172,0.0032105925244066144,0.779022153064985,0.7228979324239418,0.3292671581701003
adult,PCA_3D,105,3,KMeans_FEKM,10,0,5973.028891317251,5.023123149999947,0.0026940986458581498,0.779022153064985,0.7296833810316471,0.32914422697238166
adult,PCA_5D,105,5,KMeans_FEKM,2,0,60404.66093700928,5.707268602000113,0.17996889672322866,0.7607182343065395,1.1221517352059678,0.7358049569888062
adult,PCA_5D,105,5,KMeans_FEKM,3,0,45475.2870899596,5.6926079929999105,0.042751048298843256,0.7607182343065395,1.304124798562906,0.5465316562277536
adult,PCA_5D,105,5,KMeans_FEKM,4,0,39717.34197528986,5.746237539000049,0.0027758646462645266,0.7607182343065395,1.1978931648470623,0.47864497024089836
adult,PCA_5D,105,5,KMeans_FEKM,5,0,35397.51518812421,5.787578474999918,0.04454569435559905,0.77916547233938,1.251752939375174,0.45527770775469667
adult,PCA_5D,105,5,KMeans_FEKM,6,0,31200.40827564184,5.7892111349999595,0.024130748922606013,0.7791245239752672,1.359901519024394,0.3553052709974732
adult,PCA_5D,105,5,KMeans_FEKM,7,0,28246.650822884276,6.098712618000036,0.012264526439906987,0.77916547233938,1.3226587630211077,0.33849392437368625
adult,PCA_5D,105,5,KMeans_FEKM,8,0,26277.33003065417,6.136116805000029,0.010028391615847116,0.7792064207034929,1.2739546235086685,0.33843210127979023
adult,PCA_5D,105,5,KMeans_FEKM,9,0,24484.450512992255,6.153366364000021,0.008063441637387859,0.7792883174317186,1.1716344759696775,0.3384159607216518
adult,PCA_5D,105,5,KMeans_FEKM,10,0,22401.172447283257,6.214002629000106,0.0013623614397584246,0.779308791613775,1.1623951415909444,0.33840873652402115
