dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel,param_m,param_alpha
pen-based,KMeans_Standard,3,6,33509.96805134279,manhattan,0.023761917022056878,0.21087426312138133,0.2945778748180495,1.662824491982571,0.38371292138969904,,,
pen-based,KMeans_Standard,3,7,33517.51114194237,manhattan,0.0117004580097273,0.21123296080655826,0.2943959243085881,1.6648537209531524,0.38372361133211874,,,
pen-based,KMeans_Standard,3,8,33511.508172341426,manhattan,0.03515279199928045,0.21095492723609136,0.2945778748180495,1.6630129944251033,0.3837507365344048,,,
pen-based,KMeans_Standard,3,9,33176.531256031194,manhattan,0.01716012501856312,0.19656522831064352,0.3034934497816594,1.492621609334509,0.37766439337285684,,,
pen-based,KMeans_Standard,4,0,8525.534338535912,euclidean,0.0082388749870006,0.31924118868423895,0.3901018922852984,1.4540452804421258,0.47042225526421144,,,
pen-based,KMeans_Standard,4,1,9158.874139959355,euclidean,0.008243666001362726,0.2210483940523869,0.3584425036390102,1.3351162431556776,0.44541352947647456,,,
pen-based,KMeans_Standard,4,2,8525.8132623403,euclidean,0.01127725001424551,0.3181511216113786,0.389919941775837,1.4514964184878565,0.4705156197597104,,,
pen-based,KMeans_Standard,4,3,8905.522745267801,euclidean,0.010935833997791633,0.31109349381245777,0.3618085880640466,1.465694075633344,0.47733808103942177,,,
pen-based,KMeans_Standard,4,4,8905.509289908687,euclidean,0.010377957980381325,0.31100452441785525,0.3618085880640466,1.4656380431255887,0.4772896797761614,,,
pen-based,KMeans_Standard,4,5,8525.719480867752,euclidean,0.018855375004932284,0.318542707731096,0.389919941775837,1.4521427612756814,0.4706271650345805,,,
pen-based,KMeans_Standard,4,6,8909.700805667298,euclidean,0.02334795898059383,0.29623671011278624,0.3894650655021834,1.5688115248580534,0.4573778121676039,,,
pen-based,KMeans_Standard,4,7,8525.708453725876,euclidean,0.012692375021288171,0.31879580671625923,0.389919941775837,1.4521087378223696,0.47090342710632166,,,
pen-based,KMeans_Standard,4,8,9158.711551300821,euclidean,0.005567209009313956,0.22111735276844782,0.35835152838427947,1.3350183117933718,0.44605837039231044,,,
pen-based,KMeans_Standard,4,9,8909.659770101478,euclidean,0.014096250000875443,0.29695497266995885,0.3890101892285298,1.5683077645620571,0.45859546515406974,,,
pen-based,KMeans_Standard,4,0,29854.000060913662,manhattan,0.016546042024856433,0.31615443274140015,0.3830967976710335,1.4648581569397108,0.4717541895171145,,,
pen-based,KMeans_Standard,4,1,31484.45287893464,manhattan,0.014159790996927768,0.20814370960626652,0.35070960698689957,1.3976320132430236,0.4275174813715979,,,
pen-based,KMeans_Standard,4,2,29853.153315416264,manhattan,0.01221149999764748,0.316082893250366,0.38291484716157204,1.4657103513668241,0.4718062607184809,,,
pen-based,KMeans_Standard,4,3,31042.68839204705,manhattan,0.015254583995556459,0.2858997286794219,0.3537117903930131,1.4426340959768815,0.4591835117980613,,,
pen-based,KMeans_Standard,4,4,30584.195104551713,manhattan,0.01904600000125356,0.2981187092200931,0.38746360989810774,1.6235211124019076,0.4528951450339762,,,
pen-based,KMeans_Standard,4,5,29853.999193696982,manhattan,0.020995582977775484,0.31610124840945225,0.38291484716157204,1.465740738812695,0.47185816985221596,,,
pen-based,KMeans_Standard,4,6,30580.91230635113,manhattan,0.01714816701132804,0.2980826129871383,0.38746360989810774,1.6226895146520637,0.4527644353653286,,,
pen-based,KMeans_Standard,4,7,29866.910073292882,manhattan,0.012513082998339087,0.31555532699914607,0.38282387190684136,1.4661807729882304,0.4714877208500119,,,
pen-based,KMeans_Standard,4,8,31484.949035742797,manhattan,0.01070654098293744,0.20804548733174716,0.35070960698689957,1.3988908686718808,0.427249817276505,,,
pen-based,KMeans_Standard,4,9,30582.09731410408,manhattan,0.011830750008812174,0.29761581802129033,0.3870997088791849,1.6222449418512246,0.4525614227401941,,,
pen-based,KMeans_Standard,5,0,7619.0540564203775,euclidean,0.009613874979550019,0.37273532320515074,0.4868085880640466,1.2606632212090498,0.5316691620537294,,,
pen-based,KMeans_Standard,5,1,8875.567260004555,euclidean,0.013534333003917709,0.24585166372782158,0.4408660844250364,1.5265028811927768,0.49848167493029066,,,
pen-based,KMeans_Standard,5,2,7530.616310050294,euclidean,0.013984209013869986,0.3552528921002243,0.44605167394468703,1.3578684842328894,0.532645012545291,,,
pen-based,KMeans_Standard,5,3,7530.625424288317,euclidean,0.00757099999464117,0.35553208909388356,0.44596069868995636,1.3581623937613976,0.5327398899220877,,,
pen-based,KMeans_Standard,5,4,8099.864049646523,euclidean,0.01790175001951866,0.32497904853410936,0.41512008733624456,1.4941521868908167,0.503616435068048,,,
pen-based,KMeans_Standard,5,5,7618.897271955662,euclidean,0.010869874997297302,0.37213055712983695,0.4868085880640466,1.2605434829095805,0.5313142930180746,,,
pen-based,KMeans_Standard,5,6,7618.883978564043,euclidean,0.03408437501639128,0.37227196034589966,0.4868085880640466,1.260548384326851,0.5313679844049042,,,
pen-based,KMeans_Standard,5,7,7618.8853358720435,euclidean,0.012042209011269733,0.372351375957664,0.4868085880640466,1.2605872846328552,0.531460227529782,,,
