dataset,algorithm,n_clusters,run_id,inertia,metric,runtime,ari,purity,davies_bouldin,f_measure,kernel
pen-based,Kernel_KMeans,2,0,1466.2601997125212,,22.337781582958996,0.1412566909513054,0.20660480349344978,1.8829071789766514,0.3065197575415167,rbf
pen-based,Kernel_KMeans,3,0,1181.6883830850154,,27.84300879202783,0.23904272778872437,0.30030931586608445,1.543668068890909,0.3843709944293835,rbf
pen-based,Kernel_KMeans,4,0,1065.3572622294644,,12.389355583116412,0.27317787408793254,0.3851892285298399,1.5360695705469483,0.45129990910910245,rbf
pen-based,Kernel_KMeans,5,0,886.4236467783039,,12.991123292129487,0.35815710215503455,0.44632459970887917,1.3609790358146505,0.533976730729458,rbf
pen-based,Kernel_KMeans,6,0,785.3431589834466,,11.091582958120853,0.4204525521206447,0.5438500727802038,1.2438608007971381,0.5954544173072704,rbf
pen-based,Kernel_KMeans,7,0,713.6345606748575,,19.647267292253673,0.4747418967893119,0.5974344978165939,1.2360068409425515,0.6419434268738946,rbf
pen-based,Kernel_KMeans,8,0,673.9673883853442,,16.71613608300686,0.4644529207123592,0.6065320232896652,1.281931425783199,0.6350498714494117,rbf
pen-based,Kernel_KMeans,9,0,636.5978603056925,,29.627019832842052,0.5325201258982621,0.6939592430858806,1.3228940837285,0.7077136730081282,rbf
pen-based,Kernel_KMeans,10,0,615.6453245736582,,18.418409375008196,0.5157703893958586,0.6911390101892285,1.331046365456223,0.698982143775347,rbf
